name,country,probability
brij,IN,1
brijendra,IN,1
brijesh,IN,1
brijnesh,None,0
brika,None,0
brill,None,0
brilliant,None,0
brinal,None,0
brinda,MU,0.9273080303787171
brink,None,0
brinkley,None,0
brinton,None,0
brion,US,0.8637955041173604
brionca,None,0
briony,GB,1.0000000000000002
briseida,ES,1
brit,NO,0.4841619045214407
brita,DK,0.45850197026714296
britaldo,None,0
briti,None,0
britney,NG,0.22225319455679976
britni,None,0
brito,MZ,0.6176820413146544
britomar,None,0
britt,DK,0.283774590278289
britta,DK,0.47439428047233007
brittani,None,0
brittany,US,0.5304747570722141
britten,None,0
brittmaj,None,0
brittmarie,SE,1
britton,US,1
brizeida,None,0
brkic,None,0
brock,CA,0.5046302264366149
brocke,None,0
brockhuus,None,0
brodene,None,0
broder,None,0
broderick,None,0
brodie,GB,0.544292282117069
brody,US,0.9421529047541424
broekaert,None,0
broich,None,0
brojo,None,0
bromage,None,0
bromley,None,0
bronis,None,0
bronislaw,PL,1
bronwe,None,0
bronwen,ZA,0.8330842676377506
bronwyn,ZA,0.9568131726585617
brook,ET,0.8843615016768109
brooke,AU,0.5456870220526772
brooks,US,0.9208580679151823
broomhall,None,0
brooze,None,0
broto,None,0
brought,None,0
brouwers,None,0
brown,GH,0.1967666304141026
brownhilder,None,0
brownyn,None,0
bruce,CA,0.12015436842971564
bruna,BR,0.29939824168535406
brunela,None,0
brunella,IT,0.6640891817497028
brunello,IT,1
bruner,None,0
brunilda,AL,0.9818951444634791
brunilde,IT,1
brunna,ES,1.0000000000000002
brunno,BR,0.9094968131009091
bruno,PT,0.15462484057599873
bruss,IT,0.9999999999999999
brutch,None,0
bryan,US,0.13375794503584687
bryanne,None,0
bryant,US,0.49121318552778626
bryce,CA,0.486222334267565
brychan,None,0
brydieleigh,None,0
bryl,FR,1
bryn,GB,1
bryna,None,0
brynjar,IS,1
brynle,None,0
brynn,None,0
bryon,US,1
bryson,US,1
bsm,None,0
bu,BH,0.7040495365856942
bubacarr,GM,1
buccoliero,None,0
buchbinder,None,0
buchli,None,0
buchmueller,None,0
buck,US,0.49463962908279846
bud,RO,0.24729852896972068
budan,None,0
buddha,IT,1.0000000000000002
buddhika,LK,1
budhachandra,None,0
budhaditya,None,0
budhendra,None,0
budhi,ID,1
budhy,ID,1
budi,ID,0.9880623867224314
budiman,ID,1
budsara,None,0
budyanto,None,0
buenos,None,0
buensanteai,None,0
buff,None,0
buffy,US,0.28470534563612643
bugga,None,0
bugra,TR,0.9209808635951963
buhan,None,0
buhmann,None,0
buhtiyarov,None,0
buhyun,None,0
bui,VN,0.9994001447874484
buidze,None,0
buijzen,None,0
bujane,None,0
bujar,AL,0.4655884629453847
bujie,None,0
bukan,None,0
buket,TR,0.7555595426292204
bukhari,None,0
bukhoree,None,0
bukola,NG,0.9804937723765341
bulakh,None,0
bulat,RU,1
bulent,NL,0.26766474789839567
bulmaro,None,0
bulu,TR,1
bum,TH,0.5856308689317055
bumho,None,0
bumjae,None,0
bumjin,None,0
bumjo,None,0
bumjun,None,0
bumjung,None,0
bumseok,None,0
bumsoo,KR,1.0000000000000002
bumsuk,None,0
buncha,TH,1
bundesministerium,None,0
bundin,None,0
bundit,TH,0.9999999999999999
