author_id,author_name,author_url,crowdsourced_gender,notes_for_other_gender,crowdsourced_race,notes_for_other_race,comment_about_where_the_info_was_found
1997556906,timothy o laumann,https://academic.microsoft.com/author/1997556906/,male,,White/European,,
2146732428,heather l reynolds,https://academic.microsoft.com/author/2146732428/,female,,White/European,,
2309675908,kamseng lau,https://academic.microsoft.com/author/2309675908/,male,,East Asian,,
2155714191,steven e petersen,https://academic.microsoft.com/author/2155714191/,male,,White/European,,
2170924620,shuchi chawla,https://academic.microsoft.com/author/2170924620/,female,,Indian Subcontinet,,
2099565897,alecia c vogel,https://academic.microsoft.com/author/2099565897/,female,,White/European,,
2327678571,chris cooper,https://academic.microsoft.com/author/2327678571/,male,,White/European,,
2119949977,patricia landolt,https://academic.microsoft.com/author/2119949977/,female,,White/European,,
2942294171,a h wapstra,https://academic.microsoft.com/author/2942294171/,male,,White/European,,
2087782347,rajan lukose,https://academic.microsoft.com/author/2087782347/,male,,Indian Subcontinet,,
2107468044,detmar w straub,https://academic.microsoft.com/author/2107468044/,male,,White/European,,
2099455753,steven m nelson,https://academic.microsoft.com/author/2099455753/,male,,White/European,,
2150454853,mario vento,https://academic.microsoft.com/author/2150454853/,male,,White/European,,
660679892,rolf fare,https://academic.microsoft.com/author/660679892/,male,,White/European,,
2460692374,g f hughes,https://academic.microsoft.com/author/2460692374/,male,,White/European,,
2165121431,andreas krause,https://academic.microsoft.com/author/2165121431/,male,,White/European,,
2113945297,christopher f steiner,https://academic.microsoft.com/author/2113945297/,male,,White/European,,
889684952,robert sedgewick,https://academic.microsoft.com/author/889684952/,male,,White/European,,https://www.cs.princeton.edu/people/profile/rs
2109237700,claude e duchon,https://academic.microsoft.com/author/2109237700/,male,,White/European,,http://meteorology.ou.edu/member/claude-duchon/
2148233568,jack edmonds,https://academic.microsoft.com/author/2148233568/,male,,White/European,,https://tecnico.ulisboa.pt/en/events/inesc-id-distinguished-lecture-jack-r-edmonds/
