author_id,author_name,gender,race
2252586558,lotfi a zadeh,male,Other
727393887,n phanthien,male,East Asian
2227755146,eunjoon cho,male,East Asian
2149175904,satoru kawai,male,East Asian
2599499350,chao tang,male,East Asian
2140673536,y thomas hou,male,East Asian
2166435812,ben y zhao,male,East Asian
2181693782,leon liheng wu,male,East Asian
2630160815,jie lin,male,East Asian
2002213426,jianbo shi,male,East Asian
1916781381,byungnam kahng,male,East Asian
2143724125,mung chiang,male,East Asian
2162788130,guanrong chen,male,East Asian
2275122832,haejeong park,male,East Asian
2141131632,jason i hong,male,East Asian
2171861656,naoki masuda,male,East Asian
2119679967,toshio yamagishi,male,East Asian
2572048205,jianping zhang,male,East Asian
2172097790,zhisheng duan,male,East Asian
2100860776,duo zhang,male,East Asian
2610510160,hichang cho,male,East Asian
2975222557,b bui xuan,male,East Asian
2158012360,jie tang,male,East Asian
2102240352,beom jun kim,male,East Asian
2946978794,yicheng zhang,male,East Asian
2895149327,hongjiang zhang,male,East Asian
2620706523,eric w k tsang,male,East Asian
2623686872,lin wang,male,East Asian
206769630,daizaburo shizuka,male,East Asian
2157918172,wei ren,male,East Asian
2227744130,michael r lyu,male,East Asian
2159823517,jiayu pan,male,East Asian
2105916845,hawoong jeong,male,East Asian
2224718883,hanghang tong,male,East Asian
2112462370,minghsuan yang,male,East Asian
2419915511,changhyun lee,male,East Asian
2420099186,chingtai lin,male,East Asian
2689291799,xiang li,male,East Asian
2097134209,steven h low,male,East Asian
2703292142,xun li,male,East Asian
2157550716,hosung park,male,East Asian
2103435758,minseok song,male,East Asian
2425744831,dong xu,male,East Asian
2143795187,mingsheng shang,male,East Asian
2309260691,xiwei liu,male,East Asian
2441980945,xiaoming liu,male,East Asian
2438622153,wenxu wang,male,East Asian
2807366552,zhongyuan zhang,male,East Asian
2151581994,haijun zhou,male,East Asian
2127952624,yongyeol ahn,male,East Asian
2440085112,jeong han kim,male,East Asian
2137992000,gaolang gong,male,East Asian
2213811539,satoru hayasaka,male,East Asian
2103022394,jie wu,male,East Asian
2105958714,yangyu liu,male,East Asian
2110859160,zhenyu wu,male,East Asian
2137441535,zicheng liu,male,East Asian
2566209759,zhen wang,male,East Asian
2115325288,seung kee han,male,East Asian
